# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.0,0,3.0,0,0.0,0.0,0.0
 0.08913643522330769,1.0119179561264784,3.0,0.0,0.26740930566992305,2.9999999999999996,0,0.0,0.0,0.0
 0.12562544440667117,1.0236726284235604,3.0,0.0,0.37687633322001346,2.999999999999999,0,0.0,0.0,0.0
 0.15333019439044407,1.035265222767717,3.0,0.0,0.4599905831713322,3.000000000000001,0,0.0,0.0,0.0
 0.1764406321975714,1.046696945035418,3.0,0.0,0.5293218965927141,2.9999999999999987,0,0.0,0.0,0.0
 0.1965858609753573,1.0579690011031337,3.0,0.0,0.5897575829260718,3.0,0,0.0,0.0,0.0
 0.214604437430567,1.0690825968473352,3.0,0.0,0.6438133122917009,2.999999999999997,0,0.0,0.0,0.0
 0.2309963032092248,1.0800389381444921,3.0,0.0,0.6929889096276742,2.9999999999999982,0,0.0,0.0,0.0
 0.24608837284070062,1.0908392308710755,3.0,0.0,0.7382651185221017,3.0000000000000018,0,0.0,0.0,0.0
 0.2601085426042437,1.1014846809035554,3.0,0.0,0.780325627812731,2.999999999999996,0,0.0,0.0,0.0
 0.27322334468147985,1.111976494118402,3.0,0.0,0.8196700340444393,2.9999999999999916,0,0.0,0.0,0.0
 0.2855589564253314,1.1223158763920864,3.0,0.0,0.856676869275994,3.0,0,0.0,0.0,0.0
 0.29721376549668577,1.1325040336010783,3.0,0.0,0.8916412964900571,3.000000000000005,0,0.0,0.0,0.0
 0.3082663043775066,1.1425421716218482,3.0,0.0,0.9247989131325195,3.0,0,0.0,0.0,0.0
 0.3187804849013054,1.152431496330867,3.0,0.0,0.956341454703916,3.0,0,0.0,0.0,0.0
 0.328809178303166,1.1621732136046048,3.0,0.0,0.9864275349094979,3.0,0,0.0,0.0,0.0
 0.33839673887271426,1.171768529319532,3.0,0.0,1.0151902166181426,3.0,0,0.0,0.0,0.0
 0.3475808293065261,1.1812186493521186,3.0,0.0,1.0427424879195781,3.0,0,0.0,0.0,0.0
 0.3563937705954241,1.1905247795788356,3.0,0.0,1.069181311786272,3.0,0,0.0,0.0,0.0
 0.36486355977374446,1.1996881258761531,3.0,0.0,1.0945906793212332,3.0000000000000067,0,0.0,0.0,0.0
 0.373014650400885,1.2087098941205416,3.0,0.0,1.1190439512026549,3.0000000000000067,0,0.0,0.0,0.0
 0.38086856016957815,1.2175912901884713,3.0,0.0,1.1426056805087343,3.0,0,0.0,0.0,0.0
 0.38844435033126085,1.226333519956413,3.0,0.0,1.1653330509937823,2.9999999999999782,0,0.0,0.0,0.0
 0.3957590085736831,1.2349377893008369,3.0,0.0,1.1872770257210492,3.000000000000015,0,0.0,0.0,0.0
 0.40282775814501925,1.2434053040982131,3.0,0.0,1.2084832744350575,2.999999999999992,0,0.0,0.0,0.0
 0.4096643099132203,1.2517372702250125,3.0,0.0,1.2289929297396607,3.000000000000008,0,0.0,0.0,0.0
 0.41628106975752577,1.259934893557705,3.0,0.0,1.2488432092725772,3.0000000000000084,0,0.0,0.0,0.0
 0.422689310623269,1.2679993799727616,3.0,0.0,1.268067931869807,3.0000000000000173,0,0.0,0.0,0.0
 0.42889931634876133,1.2759319353466523,3.0,0.0,1.286697949046284,3.0,0,0.0,0.0,0.0
 0.4349205027403264,1.2837337655558474,3.0,0.0,1.3047615082209791,2.9999999999999907,0,0.0,0.0,0.0
 0.44076152015711595,1.2914060764768176,3.0,0.0,1.3222845604713478,3.0,0,0.0,0.0,0.0
 0.44643034095368334,1.298950073986033,3.0,0.0,1.33929102286105,3.0,0,0.0,0.0,0.0
 0.45193433443363906,1.3063669639599644,3.0,0.0,1.3558030033009172,3.00000000000001,0,0.0,0.0,0.0
 0.45728033143436336,1.3136579522750818,3.0,0.0,1.37184099430309,2.99999999999999,0,0.0,0.0,0.0
 0.46247468024952876,1.3208242448078558,3.0,0.0,1.3874240407485863,3.0000000000000107,0,0.0,0.0,0.0
 0.46752329527326353,1.3278670474347567,3.0,0.0,1.4025698858197906,3.0,0,0.0,0.0,0.0
 0.4724316994954613,1.3347875660322548,3.0,0.0,1.417295098486384,2.999999999999989,0,0.0,0.0,0.0
 0.4772050617759071,1.341587006476821,3.0,0.0,1.4316151853277213,3.0,0,0.0,0.0,0.0
 0.4818482296636049,1.3482665746449252,3.0,0.0,1.4455446889908146,2.999999999999976,0,0.0,0.0,0.0
 0.4863657583979626,1.354827476413038,3.0,0.0,1.4590972751938875,2.9999999999999876,0,0.0,0.0,0.0
 0.49076193662347106,1.3612709176576296,3.0,0.0,1.4722858098704128,2.9999999999999623,0,0.0,0.0,0.0
 0.49504080926402483,1.3675981042551708,3.0,0.0,1.485122427792074,2.999999999999987,0,0.0,0.0,0.0
 0.499206197933033,1.3738102420821316,3.0,0.0,1.4976185937990985,2.9999999999999734,0,0.0,0.0,0.0
 0.5032617191978628,1.3799085370149826,3.0,0.0,1.509785157593588,3.0000000000000275,0,0.0,0.0,0.0
 0.5072108009695077,1.3858941949301942,3.0,0.0,1.5216324029085224,2.999999999999972,0,0.0,0.0,0.0
 0.5110566972487736,1.3917684217042368,3.0,0.0,1.53317009174632,2.999999999999971,0,0.0,0.0,0.0
 0.5148025014272177,1.3975324232135806,3.0,0.0,1.5444075042816525,3.0,0,0.0,0.0,0.0
